SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
08048,467,532,133,96,531,239,890,8,101
08049,591,668,173,128,689,269,1109,17,133
08050,671,752,144,121,695,463,1289,31,103
08051,654,700,233,117,736,268,1263,18,73
08052,409,506,102,75,477,261,812,17,86
08053,545,631,131,107,541,397,1079,22,75
08054,764,941,166,158,818,563,1543,36,126
08055,874,981,181,158,813,703,1716,26,113
08056,707,791,153,154,792,399,1298,30,170
08057,622,719,137,137,693,374,1172,26,143
08058,744,861,168,164,870,403,1394,31,180
08059,466,524,117,93,548,232,888,12,90
08060,543,644,131,89,589,378,1113,13,61
08061,804,860,193,155,868,448,1543,18,103
08062,554,613,99,114,597,357,1107,10,50
08063,509,559,79,82,479,428,1021,6,41
08064,838,931,234,155,965,415,1616,27,126
08065,895,876,324,224,995,228,1370,57,344
08066,788,838,261,205,936,224,1250,50,326
08067,874,917,252,207,1005,327,1443,46,302
08068,926,1019,291,217,1081,356,1421,35,489
08069,756,832,209,162,921,296,1167,39,382
08070,691,784,217,155,837,266,1073,39,363
08071,836,901,233,190,967,347,1348,25,364
08072,555,639,162,124,600,308,974,30,190
08073,824,942,242,175,1058,291,1244,62,460
08074,749,786,242,164,863,266,1110,36,389
08075,888,1047,267,191,1081,396,1436,40,459
08076,729,877,174,129,839,464,1303,33,270
08077,663,776,206,159,798,276,1231,20,188
08078,738,839,187,144,936,310,1171,52,354
08079,682,767,196,156,831,266,1083,43,323
08080,754,814,201,171,847,349,1189,43,336
08081,817,880,284,183,961,269,1174,42,481
08082,725,874,182,147,886,384,1242,28,329
08083,614,722,179,116,742,299,988,45,303
08084,525,628,145,95,590,323,983,15,155
08085,709,764,179,163,854,277,1150,33,290
08086,788,917,210,169,918,408,1372,50,283
08087,580,672,158,107,672,315,1035,12,205
08088,607,687,160,117,724,293,1061,24,209
08089,578,665,163,104,693,283,981,30,232
08090,568,670,152,112,656,318,1016,18,204
08091,563,651,111,115,645,343,1012,23,179
08092,483,540,118,87,494,324,875,9,139
08093,628,646,168,119,678,309,1109,10,155
08094,701,761,123,142,679,518,1298,26,138
08095,508,551,105,106,500,348,977,16,66
08096,739,802,215,154,853,319,1298,37,206
08097,652,721,189,157,746,281,1159,24,190
08098,605,683,163,148,701,276,1063,28,197
08099,685,739,187,146,828,263,1123,44,257
08100,581,717,162,110,733,293,1062,32,204
08101,820,949,226,150,920,473,1503,21,245
08102,698,904,177,144,814,467,1210,24,368
08103,832,850,260,167,1021,234,1136,38,508
08104,615,686,163,138,761,239,993,33,275
08105,682,799,201,171,822,287,1139,22,320
08106,624,669,187,186,698,222,852,33,408
08107,911,1029,250,202,1116,372,1680,15,245
08108,969,965,358,241,1109,226,1470,60,404
08109,495,482,148,121,538,170,862,12,103
08110,997,1010,371,258,1119,259,1271,40,696
08111,811,895,278,218,922,288,1155,35,516
08112,872,879,305,205,954,287,1179,22,550
08113,875,924,306,223,931,339,1258,31,510
08114,1004,1042,334,236,1090,386,1418,30,598
08115,847,905,287,188,968,309,1142,34,576
08116,699,743,256,150,780,256,1205,34,203
08215,682,902,295,130,842,317,1324,47,213
09001,1447,1302,534,328,1561,326,1609,75,1065
09002,1066,1068,353,249,1213,319,1402,69,663
09003,1139,1082,389,251,1201,380,1506,76,639
09004,798,792,220,181,908,281,1120,36,434
09005,870,900,285,175,1024,286,1450,51,269
09006,632,643,217,109,720,229,1104,28,143
09007,646,700,211,160,770,205,1113,17,216
09008,956,933,527,167,1079,116,1739,34,116
09009,703,748,263,136,709,343,1337,18,96
09010,894,952,232,186,970,458,1689,15,142
09011,836,875,240,194,915,362,1500,26,185
09013,964,1059,344,236,1142,301,1550,35,438
09014,1665,1393,391,337,1971,359,1595,104,1359
09015,895,934,251,206,1065,307,1401,53,375
09016,633,728,128,128,802,303,1293,16,52
09017,739,805,219,177,865,283,1396,35,113
09018,718,793,209,121,818,363,1432,19,60
09019,1333,1391,400,227,1610,487,2547,53,124
09020,527,627,106,95,605,348,1058,17,79
09021,655,731,160,110,772,344,1260,38,88
09022,619,671,165,124,710,291,1169,31,90
09023,605,619,165,116,709,234,1119,39,66
09024,522,661,170,91,625,297,1100,21,62
09025,560,681,172,102,705,262,1099,34,108
09026,744,832,173,123,887,393,1428,32,116
09027,630,673,113,113,694,383,1213,19,71
09028,781,840,337,187,892,205,1592,13,16
09029,552,604,126,98,612,320,1048,24,84
09030,682,779,263,111,795,292,1382,18,61
09031,586,611,221,152,624,200,1134,17,46
09032,1039,1178,430,217,1285,285,1917,46,254
09033,1570,1676,410,249,1911,676,2797,85,364
09034,668,767,147,129,737,422,1223,25,187
09035,762,839,189,123,897,392,1398,36,167
09036,657,757,140,119,753,402,1323,20,71
09037,779,808,189,173,862,363,1268,20,299
09038,818,949,265,136,985,381,1616,30,121
09039,734,828,178,124,924,336,1422,36,104
09040,741,866,245,128,895,339,1422,42,143
09041,625,755,181,124,732,343,1265,37,78
09042,588,697,133,99,744,309,1140,35,110
09043,607,727,155,117,726,336,1147,58,129
09044,741,752,185,147,836,325,1348,43,102
09045,668,770,195,124,780,339,1328,17,93
09046,645,709,167,99,757,331,1232,36,86
09047,765,836,205,139,946,311,1450,35,116
09048,640,735,156,106,736,377,1253,30,92
09049,618,721,156,114,744,325,1125,24,190
09050,747,823,195,126,891,358,1390,43,137
09051,598,651,139,114,698,298,1109,46,94
09052,573,636,143,99,684,283,1088,41,80
09053,735,851,192,122,838,434,1423,56,107
09054,508,598,112,98,574,322,1001,19,86
09055,823,919,229,135,845,533,1456,40,246
09056,559,610,88,71,594,416,1036,17,116
09057,802,883,191,169,930,395,1311,70,304
09058,703,823,269,136,870,251,1330,38,158
09059,686,733,199,108,770,342,1233,49,137
09060,602,740,139,123,763,317,1172,40,130
09061,827,875,269,182,897,354,1532,37,133
09062,554,611,160,100,682,223,982,50,133
09063,546,600,137,94,673,242,1013,47,86
09064,552,623,116,91,664,304,1063,23,89
09065,982,1139,228,192,1185,516,1730,61,330
09066,715,758,184,124,838,327,1310,40,123
09067,710,861,178,127,909,357,1251,61,259
09068,772,814,188,141,879,378,1398,43,145
09069,397,495,105,75,455,257,780,8,104
09070,784,959,190,158,972,423,1325,54,364
09071,881,1057,218,146,1076,498,1557,50,331
09072,684,828,185,128,852,347,1124,73,315
09073,726,801,123,126,882,396,1333,37,157
09074,786,897,209,160,921,393,1441,67,175
09075,770,846,208,156,915,337,1279,50,287
